id,points_of_interest
01100206,1
01100308,2
01100310,1
01100313,3
01200518,1
01200520,1
01200629,1
01300834,1
01300836,1
01400940,3
02100101,1
02100102,1
02100104,1
02200208,1
02200209,3
02200213,3
02300315,1
02300418,1
02400520,1
02400623,2
02400624,1
02500726,1
02500727,1
02500728,1
02500729,1
02500830,1
02500832,1
02500833,3
02500835,2
03100103,1
03200205,1
03200207,1
03200309,1
03200310,1
03300411,1
03300516,1
03400620,1
03400722,1
03400826,1
03500935,1
03501037,1
03601142,1
03601243,1
03601449,2
03601450,1
03601453,1
03701659,1
03701660,2
04200311,3
04300517,2
04300623,2
04300624,1
04400728,1
04500937,1
04501042,1
04501043,1
04501045,1
05100314,1
05200418,1
05200527,1
05200629,1
05200630,1
05300737,1
05400945,1
06100205,1
06200313,3
06200419,1
06300526,2
06300629,1
06300631,1
06300633,2
06400735,2
06400838,2
06400840,1
07100102,2
07200307,1
07200410,1
07200413,2
07400824,2
07400825,1
07400927,1
07601236,1
07601237,3
07601339,1
07601544,1
08100104,1
08100206,2
08100520,1
08200730,1
08401139,2
08401243,1
09100305,1
09200511,1
09200613,3
09200715,2
09200716,2
09200819,3
09300920,1
09300922,1
09300923,1
09301024,1
09401431,1
09401433,1
09401635,1
09501737,1
09501838,2
09501939,2
09501941,1
10100103,1
10100208,1
10100210,1
10100312,1
10200421,1
10200422,1
10200629,1
10400938,2
10400941,1
11100102,1
11100203,1
11100307,1
11200514,1
11300616,1
11300618,1
11400928,1
11400929,5
11400930,1
11400931,1
11401033,1
11401135,1
11401137,1
11501339,2
12100101,7
12100102,2
12100103,1
12100204,1
12100205,1
12200412,1
12200414,1
12200515,1
12400616,1
12400618,2
12400619,2
12400722,1
12500926,1
12601235,1
